Amazon.com Inc.,,,,,,,,,,,,,,,,,,,,,,
Consolidated Income Statement,,,,,,,,,,,,,,,,,,,,,,
Quarterly Data,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
USD $ in millions,,,,,,,,,,,,,,,,,,,,,,
3 months ended,"Jun 30, 2019","Mar 31, 2019","Dec 31, 2018","Sep 30, 2018","Jun 30, 2018","Mar 31, 2018","Dec 31, 2017","Sep 30, 2017","Jun 30, 2017","Mar 31, 2017","Dec 31, 2016","Sep 30, 2016","Jun 30, 2016","Mar 31, 2016","Dec 31, 2015","Sep 30, 2015","Jun 30, 2015","Mar 31, 2015","Dec 31, 2014","Sep 30, 2014","Jun 30, 2014","Mar 31, 2014"
Net product sales,"35,856 ","34,283 ","44,700 ","33,746 ","31,864 ","31,605 ","41,326 ","28,768 ","24,745 ","23,734 ","30,629 ","22,339 ","21,116 ","20,581 ","26,617 ","18,463 ","17,104 ","17,084 ","23,102 ","16,022 ","15,251 ","15,705 "
Net service sales,"27,548 ","25,417 ","27,683 ","22,830 ","21,022 ","19,437 ","19,127 ","14,976 ","13,210 ","11,980 ","13,112 ","10,375 ","9,288 ","8,547 ","9,129 ","6,895 ","6,081 ","5,633 ","6,226 ","4,557 ","4,089 ","4,036 "
Net sales,"63,404 ","59,700 ","72,383 ","56,576 ","52,886 ","51,042 ","60,453 ","43,744 ","37,955 ","35,714 ","43,741 ","32,714 ","30,404 ","29,128 ","35,746 ","25,358 ","23,185 ","22,717 ","29,328 ","20,579 ","19,340 ","19,741 "
Cost of sales,"(36,337)","(33,920)","(44,786)","(33,003)","(30,632)","(30,735)","(38,494)","(27,549)","(23,451)","(22,440)","(28,959)","(21,260)","(19,180)","(18,866)","(24,341)","(16,755)","(15,160)","(15,395)","(20,671)","(14,627)","(13,399)","(14,055)"
Gross profit,"27,067 ","25,780 ","27,597 ","23,573 ","22,254 ","20,307 ","21,959 ","16,195 ","14,504 ","13,274 ","14,782 ","11,454 ","11,224 ","10,262 ","11,405 ","8,603 ","8,025 ","7,322 ","8,657 ","5,952 ","5,941 ","5,686 "
Fulfillment,"(9,271)","(8,601)","(10,028)","(8,275)","(7,932)","(7,792)","(8,974)","(6,420)","(5,158)","(4,697)","(5,719)","(4,335)","(3,878)","(3,687)","(4,545)","(3,230)","(2,876)","(2,759)","(3,424)","(2,643)","(2,382)","(2,317)"
Marketing,"(4,291)","(3,664)","(4,911)","(3,303)","(2,901)","(2,699)","(3,441)","(2,479)","(2,229)","(1,920)","(2,513)","(1,738)","(1,546)","(1,436)","(1,757)","(1,264)","(1,150)","(1,083)","(1,526)",(993),(943),(870)
Technology and content,"(9,065)","(7,927)","(7,669)","(7,162)","(7,247)","(6,759)","(6,314)","(5,944)","(5,549)","(4,813)","(4,544)","(4,135)","(3,880)","(3,526)","(3,569)","(3,197)","(3,020)","(2,754)","(2,635)","(2,423)","(2,226)","(1,991)"
General and administrative,"(1,270)","(1,173)","(1,117)","(1,041)","(1,111)","(1,067)","(1,045)",(960),(874),(795),(716),(639),(580),(497),(390),(463),(467),(427),(442),(406),(377),(327)
"Other operating income (expense), net",(86),5 ,(85),(68),(80),(63),(59),(45),(66),(44),(35),(32),(55),(45),(36),(43),(48),(44),(39),(31),(28),(35)
Operating income (loss),"3,084 ","4,420 ","3,787 ","3,724 ","2,983 ","1,927 ","2,126 ",347 ,628 ,"1,005 ","1,255 ",575 ,"1,285 ","1,071 ","1,108 ",406 ,464 ,255 ,591 ,(544),(15),146 
Interest income,215 ,183 ,149 ,117 ,94 ,80 ,65 ,54 ,44 ,39 ,29 ,26 ,24 ,21 ,14 ,13 ,12 ,11 ,8 ,9 ,11 ,11 
Interest expense,(383),(366),(386),(358),(343),(330),(338),(228),(143),(139),(133),(118),(116),(117),(114),(116),(114),(115),(74),(49),(45),(42)
"Other income (expense), net",(27),164 ,(200),(93),(129),239 ,18 ,143 ,137 ,48 ,15 ,8 ,(14),81 ,(70),(56),—,(130),(95),(50),22 ,5 
Non-operating income (expense),(195),(19),(437),(334),(378),(11),(255),(31),38 ,(52),(89),(84),(106),(15),(170),(159),(102),(234),(161),(90),(12),(26)
Income (loss) before income taxes,"2,889 ","4,401 ","3,350 ","3,390 ","2,605 ","1,916 ","1,871 ",316 ,666 ,953 ,"1,166 ",491 ,"1,179 ","1,056 ",938 ,247 ,362 ,21 ,430 ,(634),(27),120 
(Provision) benefit for income taxes,(257),(836),(328),(508),(74),(287),(15),(58),(467),(229),(414),(229),(307),(475),(452),(161),(266),(71),(205),205 ,(94),(73)
"Equity-method investment activity, net of tax",(7),(4),5 ,1 ,3 ,—,—,(2),(2),—,(3),(10),(15),(68),(4),(7),(4),(7),(11),(8),(5),61 
Net income (loss),"2,625 ","3,561 ","3,027 ","2,883 ","2,534 ","1,629 ","1,856 ",256 ,197 ,724 ,749 ,252 ,857 ,513 ,482 ,79 ,92 ,(57),214 ,(437),(126),108 
"Based on:
10-Q (filing date: 2019-07-26),
10-Q (filing date: 2019-04-26),
10-K (filing date: 2019-02-01),
10-Q (filing date: 2018-10-26),
10-Q (filing date: 2018-07-27),
10-Q (filing date: 2018-04-27),
10-K (filing date: 2018-02-02),
10-Q (filing date: 2017-10-27),
10-Q (filing date: 2017-07-28),
10-Q (filing date: 2017-04-28),
10-K (filing date: 2017-02-10),
10-Q (filing date: 2016-10-28),
10-Q (filing date: 2016-07-29),
10-Q (filing date: 2016-04-29),
10-K (filing date: 2016-01-29),
10-Q (filing date: 2015-10-23),
10-Q (filing date: 2015-07-24),
10-Q (filing date: 2015-04-24),
10-K (filing date: 2015-01-30),
10-Q (filing date: 2014-10-24),
10-Q (filing date: 2014-07-25),
10-Q (filing date: 2014-04-25).",,,,,,,,,,,,,,,,,,,,,,
